Altitude_ft,Mach,PowerSetting,Thrust_lbf,FuelFlow_pph
30000,0.2,AB1,11181.5,11839.5
30000,0.2,AB2,13506.6,17551.7
30000,0.2,AB3,15120.6,23287.8
30000,0.2,AB4,16346.1,27535.4
30000,0.2,MAX,17148.0,31362.2
30000,0.4,IDLE,1062.2,1200.0
30000,0.4,MIL,8585.6,4049.6
30000,0.4,AB1,11551.9,12231.7
30000,0.4,AB2,13954.1,18133.2
30000,0.4,AB3,15621.5,24059.3
30000,0.4,AB4,16887.6,28447.6
30000,0.4,MAX,17716.1,32401.2
30000,0.6,IDLE,1067.6,1225.0
30000,0.6,MIL,8715.1,4110.6
30000,0.6,AB1,11726.2,12416.2
30000,0.6,AB2,14164.6,18406.8
30000,0.6,AB3,15857.2,24422.2
30000,0.6,AB4,17142.4,28876.8
30000,0.6,MAX,17983.3,32890.0
30000,0.8,IDLE,1041.0,1250.0
30000,0.8,MIL,8308.7,3958.1
30000,0.8,AB1,11179.3,12192.3
30000,0.8,AB2,13504.0,18074.7
30000,0.8,AB3,15117.6,23981.7
30000,0.8,AB4,16342.9,28355.9
30000,0.8,MAX,17144.6,32296.7
30000,1.0,IDLE,964.5,1275.0
30000,1.0,MIL,7599.2,3656.0
30000,1.0,AB1,10224.7,11476.0
30000,1.0,AB2,12350.9,17012.9
30000,1.0,AB3,13826.8,22572.8
30000,1.0,AB4,14947.4,26690.1
30000,1.0,MAX,15680.7,30399.3
30000,1.2,IDLE,1033.4,1300.0
30000,1.2,MIL,8129.8,3949.6
30000,1.2,AB1,10938.6,12624.7
30000,1.2,AB2,13213.3,18715.9
30000,1.2,AB3,14792.1,24832.3
30000,1.2,AB4,15991.0,29361.7
30000,1.2,MAX,16775.5,33442.2
30000,1.4,IDLE,1047.5,1325.0
30000,1.4,MIL,8240.1,4042.1
30000,1.4,AB1,11087.1,13148.2
30000,1.4,AB2,13392.6,19491.9
30000,1.4,AB3,14992.9,25862.0
30000,1.4,AB4,16208.0,30579.2
30000,1.4,MAX,17003.1,34829.0
30000,1.6,IDLE,1047.6,1350.0
30000,1.6,MIL,8240.6,4081.2
30000,1.6,AB1,11087.8,13501.3
30000,1.6,AB2,13393.4,20015.3
30000,1.6,AB3,14993.8,26556.5
30000,1.6,AB4,16209.1,31400.3
30000,1.6,MAX,17004.2,35764.2
30000,1.8,IDLE,1047.6,1375.0
30000,1.8,MIL,8240.6,4120.1
30000,1.8,AB1,11087.8,13853.5
30000,1.8,AB2,13393.4,20537.5
30000,1.8,AB3,14993.8,27249.3
30000,1.8,AB4,16209.1,32219.5
30000,1.8,MAX,17004.2,36697.2
30000,2.0,IDLE,1047.6,1400.0
30000,2.0,MIL,8240.6,4158.9
30000,2.0,AB1,11087.8,14205.7
30000,2.0,AB2,13393.4,21059.6
30000,2.0,AB3,14993.8,27942.1
30000,2.0,AB4,16209.1,33038.6
30000,2.0,MAX,17004.2,37630.2
35000,0.0,IDLE,867.8,1150.0
35000,0.0,MIL,7225.7,3430.9
35000,0.0,AB1,9907.1,10560.1
35000,0.0,AB2,12080.5,15803.4
35000,0.0,AB3,13600.8,21086.9
35000,0.0,AB4,14758.6,25027.2
35000,0.0,MAX,15482.6,28505.4
